city_name,country_code,rand_lat,rand_lng,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
maceio,br,-15.159999999961713,-30.150000000136288,-9.67,-35.74,77,73,75,10.29
bluff,nz,-85.81999999999786,177.339999999675,-46.6,168.33,48.75,100,92,22.88
punta arenas,cl,-70.66999999999011,-90.81000000008112,-53.16,-70.91,41.95,95,20,16.11
taoudenni,ml,23.51000000005807,-4.550000000159571,22.68,-3.98,110.22,9,0,2.98
bredasdorp,za,-82.169999999996,15.439999999822248,-34.53,20.04,57.2,93,12,9.69
chokurdakh,ru,83.07000000008856,151.69999999969832,70.62,147.9,42.36,78,0,8.57
port elizabeth,za,-57.77999999998352,31.92999999980725,-33.92,25.57,57.2,71,0,3.36
hilo,us,32.510000000062675,-141.9600000000346,19.71,-155.08,66.87,73,90,4.7
santa maria,cv,18.220000000055364,-20.080000000145446,16.6,-22.9,75.84,90,0,18.86
mahebourg,mu,-38.52999999997367,70.15999999977248,-20.41,57.7,71.6,60,40,17.22
nemuro,jp,39.39000000006621,150.14999999969973,43.32,145.57,52.62,100,100,7.45
hirara,jp,19.490000000056014,129.10999999971887,24.8,125.28,83.04,97,92,33.29
nanortalik,gl,54.39000000007388,-46.20000000012169,60.14,-45.24,37.41,95,92,5.21
taree,au,-31.86999999997026,152.29999999969777,-31.91,152.46,44.6,93,8,5.82
bosaso,so,11.320000000051834,47.83999999979278,11.28,49.18,89.88,84,0,5.1
inuvik,ca,66.54000000008008,-133.73000000004208,68.36,-133.71,56.71,63,40,2.24
sao filipe,cv,4.210000000048197,-26.010000000140053,14.9,-24.5,76.74,94,0,12.15
la asuncion,ve,12.420000000052397,-64.32000000010521,11.03,-63.86,82.41,96,12,13.15
yamandu,sl,8.120000000050197,-11.72000000015305,7.94,-11.49,71.07,100,92,6.22
arua,ug,3.0700000000476138,30.549999999808506,3.02,30.91,75.93,61,92,5.55
soyo,ao,-7.039999999957558,9.82999999982735,-6.13,12.37,75.57,74,0,6.55
waipawa,nz,-45.34999999997716,177.06999999967525,-39.94,176.59,39.03,87,8,7.11
saint petersburg,us,27.81000000006027,-82.67000000008852,27.77,-82.67,89.38,55,90,4.7
mehriz,ir,31.020000000061913,54.58999999978664,31.58,54.44,96.8,8,36,11.41
